Unnamed: 0,name,extinction_reasons,location,population_trend,state,scientific_name,description,habitat,extinction_reasons_duplicate,english_name,class,family,order,population,amount_remain,extinction_reasons_additional,status_id,tinh_trang,dinh_nghia,full
29,Rắn đuôi chuông đảo Santa Catalina,"Mất môi trường sống, săn bắt",Đảo Santa Catalina,Decreasing,CR,Crotalus catalinensis,"Rắn nhỏ, không có chuông đuôi, màu nâu nhạt hoặc xám, sống trên đảo.","Đảo Santa Catalina, Mexico","Mất môi trường sống, săn bắt",Santa Catalina Rattlesnake,Bò sát,Viperidae,Squamata,Decreasing,,"Mất môi trường sống, săn bắt",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
30,Thú châm Hispaniola,"Mất môi trường sống, động vật xâm lấn, săn bắt",Đảo Hispaniola (Haiti và Cộng hòa Dominica),Unknown,LC,Solenodon paradoxus,"Thú nhỏ, mũi dài và nhọn, chân ngắn, màu lông nâu sẫm hoặc đen.","Rừng nhiệt đới, rừng khô","Mất môi trường sống, động vật xâm lấn, săn bắt",Hispaniolan Solenodon,Thú,Solenodontidae,Eulipotyphla,Unknown,,"Mất môi trường sống, động vật xâm lấn, săn bắt",LC,Ít quan tâm,Được đánh giá là có nguy cơ tuyệt chủng thấp nhất,least concern
31,Kỳ giông khổng lồ Mỹ,"Mất môi trường sống, ô nhiễm nước, bắt làm cảnh",Miền đông và trung Hoa Kỳ,Decreasing,NT,Cryptobranchus alleganiensis,"Kỳ giông lớn, da nhăn nheo, màu nâu xám hoặc ô liu, sống chủ yếu dưới đáy sông.","Sông, suối nước ngọt có dòng chảy nhanh","Mất môi trường sống, ô nhiễm nước, bắt làm cảnh",Hellbender,Lưỡng cư,Cryptobranchidae,Caudata,Decreasing,,"Mất môi trường sống, ô nhiễm nước, bắt làm cảnh",NT,Gần bị đe dọa,Có thể bị đe dọa trong tương lai gần,near threaten
32,Gấu Bắc Cực,"Biến đổi khí hậu, tan băng, ô nhiễm",Vòng Bắc Cực,Unknown,VU,Ursus maritimus,"Gấu lớn với lông trắng, sống chủ yếu trên băng biển và săn hải cẩu.","Bắc Cực, biển băng","Biến đổi khí hậu, tan băng, ô nhiễm",Polar Bear,Thú,Ursidae,Carnivora,Unknown,,"Biến đổi khí hậu, tan băng, ô nhiễm",VU,Sắp nguy cấp,Có nguy cơ cao bị tuyệt chủng trong tự nhiên,vulnerable
33,Hải cẩu mũ,"Biến đổi khí hậu, săn bắt, ô nhiễm","Vòng Bắc Cực, Bắc Đại Tây Dương",Unknown,VU,Cystophora cristata,"Hải cẩu lớn với mào bơm phồng trên đầu của con đực, lông xám hoặc xanh đen.","Bắc Đại Tây Dương, Bắc Băng Dương","Biến đổi khí hậu, săn bắt, ô nhiễm",Hooded Seal,Thú,Phocidae,Carnivora,Unknown,"340,000","Biến đổi khí hậu, săn bắt, ô nhiễm",VU,Sắp nguy cấp,Có nguy cơ cao bị tuyệt chủng trong tự nhiên,vulnerable
34,Cá tầm Beluga,"Đánh bắt quá mức, mất môi trường sống","Biển Caspi, Biển Đen, Biển Azov",Decreasing,CR,Huso huso,"Cá lớn với chiều dài lên đến 6 mét, nặng tới 1000 kg, có giá trị cao vì trứng cá muối (caviar).","Sông lớn, cửa sông","Đánh bắt quá mức, mất môi trường sống",Beluga Sturgeon,Cá,Acipenseridae,Acipenseriformes,Decreasing,,"Đánh bắt quá mức, mất môi trường sống",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
35,Kỳ nhông Mexico,"Mất môi trường sống, ô nhiễm, loài xâm lấn","Hồ Xochimilco, Mexico",Decreasing,CR,Ambystoma mexicanum,"Kỳ nhông không trưởng thành hoàn toàn, giữ lại đặc điểm ấu trùng, lông mang bên ngoài.",Hồ nước ngọt,"Mất môi trường sống, ô nhiễm, loài xâm lấn",Axolotl,Lưỡng cư,Ambystomatidae,Caudata,Decreasing,"50-1,000","Mất môi trường sống, ô nhiễm, loài xâm lấn",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
36,Chim sẻ Sao Tome,"Mất môi trường sống, săn bắt",Đảo Sao Tome,Decreasing,CR,Crithagra concolor,"Chim nhỏ với màu lông nâu sẫm hoặc đen, mỏ lớn và khỏe.","Rừng nhiệt đới, rừng nguyên sinh","Mất môi trường sống, săn bắt",Sao Tome Grosbeak,Chim,Fringillidae,Passeriformes,Decreasing,50-249,"Mất môi trường sống, săn bắt",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
37,Tắc kè lá Antsingy,"Mất môi trường sống, săn bắt",Madagascar,Decreasing,EN,Brookesia perarmata,"Tắc kè nhỏ, màu nâu hoặc xám, có gai và sừng nhỏ, ngụy trang giống lá khô",Rừng khô nhiệt đới,"Mất môi trường sống, săn bắt",Antsingy Leaf Chameleon,Bò sát,Chamaeleonidae,Squamata,Decreasing,,"Mất môi trường sống, săn bắt",EN,Nguy cấp,Được đánh giá là có nguy cơ bị tuyệt chủng rất cao trong tự nhiên,endangered
38,Cua nước ngọt Humbert Madagascar,"Mất môi trường sống, ô nhiễm",Madagascar,Unknown,LC,Madagapotamon humberti,"Cua nước ngọt nhỏ, màu nâu sẫm hoặc xanh đen, sống ở vùng nước ngọt.","Sông, suối nước ngọt","Mất môi trường sống, ô nhiễm",Humbert's Freshwater Crab,Giáp xác,Potamonautidae,Decapoda,Unknown,,"Mất môi trường sống, ô nhiễm",LC,Ít quan tâm,Được đánh giá là có nguy cơ tuyệt chủng thấp nhất,least concern
39,Tê giác đen,"Săn trộm, mất môi trường sống",Đông và Nam Phi,Increasing,CR,Diceros bicornis,"Tê giác lớn với hai sừng, màu xám đen, có da dày và nhăn nheo.","Thảo nguyên, rừng thưa","Săn trộm, mất môi trường sống",Black Rhino,Thú,Rhinocerotidae,Perissodactyla,Increasing,"3,142","Săn trộm, mất môi trường sống",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
40,Chim chích Tahiti,"Mất môi trường sống, loài xâm lấn","Đảo Tahiti, Polynesia thuộc Pháp",Increasing,CR,Pomarea nigra,"Chim nhỏ, lông màu đen, có giọng hót du dương, sống chủ yếu trên cây.","Rừng nhiệt đới, rừng thứ sinh","Mất môi trường sống, loài xâm lấn",Tahiti Monarch,Chim,Monarchidae,Passeriformes,Increasing,25-100,"Mất môi trường sống, loài xâm lấn",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
41,Cá mập Porbeagle,"Đánh bắt quá mức, mất môi trường sống","Bắc Đại Tây Dương, Nam Đại Tây Dương, Ấn Độ Dương, Thái Bình Dương",Decreasing,VU,Lamna nasus,"Cá mập lớn với thân hình thuôn dài, màu xám xanh với bụng trắng, vây ngực dài.",Đại dương nhiệt đới và ôn đới,"Đánh bắt quá mức, mất môi trường sống",Porbeagle Shark,Cá,Lamnidae,Lamniformes,Decreasing,,"Đánh bắt quá mức, mất môi trường sống",VU,Sắp nguy cấp,Có nguy cơ cao bị tuyệt chủng trong tự nhiên,vulnerable
42,Kiến vương Serra,"Mất môi trường sống, phá rừng","Serra do Cipó, Brazil",Decreasing,LC,Formicivora serrana,"Chim nhỏ, lông màu nâu và đen, thường xuất hiện trong các bụi cây thấp.","Rừng nhiệt đới, rừng thứ sinh","Mất môi trường sống, phá rừng",Serra Antwren,Chim,Thamnophilidae,Passeriformes,Decreasing,,"Mất môi trường sống, phá rừng",LC,Ít quan tâm,Được đánh giá là có nguy cơ tuyệt chủng thấp nhất,least concern
43,Sên đất săn mồi Burnup,Mất môi trường sống,Nam Phi,Unknown,VU,Chlamydephorus burnupi,"Sên đất nhỏ với màu nâu hoặc xám, sống trong các khu vực rừng rậm, săn bắt các động vật không xương sống nhỏ.","Khu vực rừng rậm, đất ẩm",Mất môi trường sống,Burnup's Hunter Slug,Thân mềm,Chlamydephoridae,Stylommatophora,Unknown,,Mất môi trường sống,VU,Sắp nguy cấp,Có nguy cơ cao bị tuyệt chủng trong tự nhiên,vulnerable
44,Trăn vảy gờ,"Mất môi trường sống, săn bắt",Cuba,Increasing,VU,Tropidophis battersbyi,"Trăn nhỏ với vảy gờ đặc trưng, màu nâu hoặc xám, thường ngụy trang trong lá rụng.","Rừng nhiệt đới, rừng rậm","Mất môi trường sống, săn bắt",Keel-scaled Boa,Bò sát,Tropidophiidae,Squamata,Increasing,"1,818","Mất môi trường sống, săn bắt",VU,Sắp nguy cấp,Có nguy cơ cao bị tuyệt chủng trong tự nhiên,vulnerable
45,Dơi mặt nhăn,Mất môi trường sống,"Trung Mỹ, Bắc Nam Mỹ",Stable,LC,Centurio senex,"Dơi cỡ trung bình với khuôn mặt nhăn nheo đặc trưng và mũi ngắn, màu lông nâu hoặc xám.",Rừng mưa nhiệt đới,Mất môi trường sống,Wrinkle-faced Bat,Thú,Phyllostomidae,Chiroptera,Stable,,Mất môi trường sống,LC,Ít quan tâm,Được đánh giá là có nguy cơ tuyệt chủng thấp nhất,least concern
46,Dơi môi ống không đuôi,Mất môi trường sống,Ecuador,Unknown,DD,Anoura fistulata,"Dơi nhỏ với môi trên kéo dài thành ống, không có đuôi, màu lông nâu sẫm hoặc đen.",Rừng mưa nhiệt đới,Mất môi trường sống,Tube-lipped Tailless Bat,Thú,Phyllostomidae,Chiroptera,Unknown,,Mất môi trường sống,DD,Thiếu dữ liệu,Không đủ dữ liệu để đánh giá nguy cơ tuyệt chủng,data deficient
47,Vượn cáo Verreaux,"Mất môi trường sống, săn bắt",Madagascar,Decreasing,CR,Propithecus verreauxi,"Vượn cáo lớn với lông trắng hoặc kem, mặt đen, nhảy xa bằng hai chân.","Rừng khô, rừng rụng lá","Mất môi trường sống, săn bắt",Verreaux's Sifaka,Thú,Indriidae,Primates,Decreasing,,"Mất môi trường sống, săn bắt",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
48,Chim chạy Jerdon,"Mất môi trường sống, săn bắt, phát triển nông nghiệp",Ấn Độ,Decreasing,CR,Rhinoptilus bitorquatus,"Chim nhỏ, lông màu nâu xám với hai vạch trắng trên cổ, chân dài, chủ yếu hoạt động vào ban đêm.","Rừng khô, đồng cỏ, bụi cây","Mất môi trường sống, săn bắt, phát triển nông nghiệp",Jerdon's Courser,Chim,Glareolidae,Charadriiformes,Decreasing,50-249,"Mất môi trường sống, săn bắt, phát triển nông nghiệp",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
49,Gà lôi Bengal,"Mất môi trường sống, săn bắt, phát triển nông nghiệp","Ấn Độ, Nepal, Campuchia, Việt Nam",Decreasing,CR,Houbaropsis bengalensis,"Chim lớn, lông màu đen và trắng, lông đuôi dài, sống chủ yếu trên mặt đất.","Đồng cỏ khô, thảo nguyên","Mất môi trường sống, săn bắt, phát triển nông nghiệp",Bengal Florican,Chim,Otididae,Gruiformes,Decreasing,250-999,"Mất môi trường sống, săn bắt, phát triển nông nghiệp",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
50,Kền kền lưng trắng,"Ngộ độc, săn bắt, mất môi trường sống",Châu Phi hạ Sahara,Decreasing,CR,Gyps africanus,"Kền kền lớn, lông màu nâu sẫm với lưng trắng, đầu và cổ không lông.","Xa-van, thảo nguyên, rừng thưa","Ngộ độc, săn bắt, mất môi trường sống",White-backed Vulture,Chim,Accipitridae,Accipitriformes,Decreasing,,"Ngộ độc, săn bắt, mất môi trường sống",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
51,Bào ngư đen,"Bệnh dịch, mất môi trường sống, khai thác quá mức",Bờ biển phía tây Bắc Mỹ,Decreasing,CR,Haliotis cracherodii,"Bào ngư lớn, vỏ màu đen hoặc xám đen, thường bám vào đá và ăn tảo.","Vùng triều, vùng biển đá","Bệnh dịch, mất môi trường sống, khai thác quá mức",Black Abalone,Thân mềm,Haliotidae,Archaeogastropoda,Decreasing,,"Bệnh dịch, mất môi trường sống, khai thác quá mức",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
52,Gấu túi mũi lông phương Bắc,"Mất môi trường sống, cạnh tranh với động vật khác, dịch bệnh",Úc (Queensland),Stable,CR,Lasiorhinus krefftii,"Gấu túi cỡ trung bình, lông dày màu nâu xám, mũi có nhiều lông, sống trong hang.","Rừng khô, đồng cỏ","Mất môi trường sống, cạnh tranh với động vật khác, dịch bệnh",Northern Hairy-nosed Wombat,Thú,Vombatidae,Diprotodontia,Stable,80,"Mất môi trường sống, cạnh tranh với động vật khác, dịch bệnh",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
53,Khỉ Kipunji,"Mất môi trường sống, săn bắt, khai thác gỗ",Tanzania,Decreasing,CR,Rungwecebus kipunji,"Khỉ cỡ trung bình với lông màu nâu, mặt đen, đuôi dài và có tiếng kêu độc đáo.","Rừng mưa nhiệt đới, rừng núi cao","Mất môi trường sống, săn bắt, khai thác gỗ",Kipunji,Thú,Cercopithecidae,Primates,Decreasing,,"Mất môi trường sống, săn bắt, khai thác gỗ",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
54,Rùa cạn Ploughshare,"Mất môi trường sống, săn bắt, buôn bán trái phép",Madagascar,Decreasing,CR,Astrochelys yniphora,Rùa cỡ trung bình với mai vàng bóng loáng và các họa tiết giống hình lưỡi cày.,"Rừng khô nhiệt đới, savanna","Mất môi trường sống, săn bắt, buôn bán trái phép",Ploughshare Tortoise,Bò sát,Testudinidae,Testudines,Decreasing,,"Mất môi trường sống, săn bắt, buôn bán trái phép",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
55,Khỉ Drill,"Mất môi trường sống, săn bắt, phá rừng",Tây Phi,Decreasing,EN,Mandrillus leucophaeus,"Khỉ lớn với lông màu nâu sẫm, mặt đen với các vạch màu sáng, đuôi ngắn và có cơ bắp mạnh mẽ.","Rừng mưa nhiệt đới, rừng thứ sinh","Mất môi trường sống, săn bắt, phá rừng",Drill,Thú,Cercopithecidae,Primates,Decreasing,"4,000","Mất môi trường sống, săn bắt, phá rừng",EN,Nguy cấp,Được đánh giá là có nguy cơ bị tuyệt chủng rất cao trong tự nhiên,endangered
56,Linh dương Hirola,"Mất môi trường sống, săn bắt, cạnh tranh với gia súc","Kenya, Somalia",Decreasing,CR,Beatragus hunteri,"Linh dương cỡ trung bình, lông màu nâu nhạt, có sọc đen trên mũi, sừng dài và cong.","Xa-van khô, thảo nguyên","Mất môi trường sống, săn bắt, cạnh tranh với gia súc",Hirola,Thú,Bovidae,Artiodactyla,Decreasing,200-250,"Mất môi trường sống, săn bắt, cạnh tranh với gia súc",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
57,Choắt chân xanh đốm,"Mất môi trường sống, săn bắt","Đông Nam Á, Đông Bắc Á",Decreasing,EN,Tringa guttifer,"Chim nhỏ, chân dài màu xanh, lông màu xám với các đốm trắng, mỏ dài và nhọn.","Bãi bồi ven biển, đầm lầy nước ngọt","Mất môi trường sống, săn bắt",Spotted Greenshank,Chim,Scolopacidae,Charadriiformes,Decreasing,"600-1,300","Mất môi trường sống, săn bắt",EN,Nguy cấp,Được đánh giá là có nguy cơ bị tuyệt chủng rất cao trong tự nhiên,endangered
